# Copyright (C) 2019  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 19.4.0 Build 64 12/04/2019 SC Pro Edition
# File: /usr3/graduate/apducimo/ec953sp2020/gitrepos/md_lr_prsm/fpga_impl/altera/md_lr_top/md_lr_top.csv
# Generated on: Sat Jun  6 02:53:49 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
fdata[91],Output,PIN_E26,2L,PIN_E26,1.8 V,,,,,
fdata[90],Output,PIN_D26,2L,PIN_D26,1.8 V,,,,,
fdata[89],Output,PIN_C26,2L,PIN_C26,1.8 V,,,,,
fdata[88],Output,PIN_B25,2L,PIN_B25,1.8 V,,,,,
fdata[87],Output,PIN_J24,3I,PIN_J24,1.8 V,,,,,
fdata[86],Output,PIN_H25,2L,PIN_H25,1.8 V,,,,,
fdata[85],Output,PIN_G23,3I,PIN_G23,1.8 V,,,,,
fdata[84],Output,PIN_F24,3I,PIN_F24,1.8 V,,,,,
fdata[83],Output,PIN_E24,3I,PIN_E24,1.8 V,,,,,
fdata[82],Output,PIN_D25,2L,PIN_D25,1.8 V,,,,,
fdata[81],Output,PIN_C25,2L,PIN_C25,1.8 V,,,,,
fdata[80],Output,PIN_B24,3I,PIN_B24,1.8 V,,,,,
fdata[79],Output,PIN_J23,3I,PIN_J23,1.8 V,,,,,
fdata[78],Output,PIN_H23,3I,PIN_H23,1.8 V,,,,,
fdata[77],Output,PIN_G22,3I,PIN_G22,1.8 V,,,,,
fdata[76],Output,PIN_F22,3I,PIN_F22,1.8 V,,,,,
fdata[75],Output,PIN_E23,3I,PIN_E23,1.8 V,,,,,
fdata[74],Output,PIN_D24,3I,PIN_D24,1.8 V,,,,,
fdata[73],Output,PIN_C23,3I,PIN_C23,1.8 V,,,,,
fdata[72],Output,PIN_B23,3I,PIN_B23,1.8 V,,,,,
fdata[71],Output,PIN_J21,3L,PIN_J21,1.8 V,,,,,
fdata[70],Output,PIN_H21,3L,PIN_H21,1.8 V,,,,,
fdata[69],Output,PIN_G20,3L,PIN_G20,1.8 V,,,,,
fdata[68],Output,PIN_F21,3L,PIN_F21,1.8 V,,,,,
fdata[67],Output,PIN_E22,3I,PIN_E22,1.8 V,,,,,
fdata[66],Output,PIN_D23,3I,PIN_D23,1.8 V,,,,,
fdata[65],Output,PIN_C22,3L,PIN_C22,1.8 V,,,,,
fdata[64],Output,PIN_B22,3L,PIN_B22,1.8 V,,,,,
fdata[63],Output,PIN_J19,3L,PIN_J19,1.8 V,,,,,
fdata[62],Output,PIN_H20,3L,PIN_H20,1.8 V,,,,,
fdata[61],Output,PIN_G19,3L,PIN_G19,1.8 V,,,,,
fdata[60],Output,PIN_F20,3L,PIN_F20,1.8 V,,,,,
fdata[59],Output,PIN_E21,3L,PIN_E21,1.8 V,,,,,
fdata[58],Output,PIN_D21,3L,PIN_D21,1.8 V,,,,,
fdata[57],Output,PIN_C21,3L,PIN_C21,1.8 V,,,,,
fdata[56],Output,PIN_B20,3L,PIN_B20,1.8 V,,,,,
fdata[55],Output,PIN_J18,3L,PIN_J18,1.8 V,,,,,
fdata[54],Output,PIN_H18,3L,PIN_H18,1.8 V,,,,,
fdata[53],Output,PIN_G18,3L,PIN_G18,1.8 V,,,,,
fdata[52],Output,PIN_F19,3L,PIN_F19,1.8 V,,,,,
fdata[51],Output,PIN_E19,3L,PIN_E19,1.8 V,,,,,
fdata[50],Output,PIN_D20,3L,PIN_D20,1.8 V,,,,,
fdata[49],Output,PIN_C20,3L,PIN_C20,1.8 V,,,,,
fdata[48],Output,PIN_B19,3L,PIN_B19,1.8 V,,,,,
fdata[47],Output,PIN_J16,3K,PIN_J16,1.8 V,,,,,
fdata[46],Output,PIN_H17,3K,PIN_H17,1.8 V,,,,,
fdata[45],Output,PIN_G17,3K,PIN_G17,1.8 V,,,,,
fdata[44],Output,PIN_F17,3L,PIN_F17,1.8 V,,,,,
fdata[43],Output,PIN_E18,3L,PIN_E18,1.8 V,,,,,
fdata[42],Output,PIN_D18,3L,PIN_D18,1.8 V,,,,,
fdata[41],Output,PIN_C18,3L,PIN_C18,1.8 V,,,,,
fdata[40],Output,PIN_B18,3L,PIN_B18,1.8 V,,,,,
fdata[39],Output,PIN_J15,3K,PIN_J15,1.8 V,,,,,
fdata[38],Output,PIN_H16,3K,PIN_H16,1.8 V,,,,,
fdata[37],Output,PIN_G15,3K,PIN_G15,1.8 V,,,,,
fdata[36],Output,PIN_F16,3K,PIN_F16,1.8 V,,,,,
fdata[35],Output,PIN_E16,3K,PIN_E16,1.8 V,,,,,
fdata[34],Output,PIN_D16,3K,PIN_D16,1.8 V,,,,,
fdata[33],Output,PIN_C17,3L,PIN_C17,1.8 V,,,,,
fdata[32],Output,PIN_B17,3L,PIN_B17,1.8 V,,,,,
fdata[31],Output,PIN_J14,3K,PIN_J14,1.8 V,,,,,
fdata[30],Output,PIN_H13,3K,PIN_H13,1.8 V,,,,,
fdata[29],Output,PIN_G14,3K,PIN_G14,1.8 V,,,,,
fdata[28],Output,PIN_F15,3K,PIN_F15,1.8 V,,,,,
fdata[27],Output,PIN_E14,3K,PIN_E14,1.8 V,,,,,
fdata[26],Output,PIN_D15,3K,PIN_D15,1.8 V,,,,,
fdata[25],Output,PIN_C16,3K,PIN_C16,1.8 V,,,,,
fdata[24],Output,PIN_B15,3K,PIN_B15,1.8 V,,,,,
fdata[23],Output,PIN_J13,3J,PIN_J13,1.8 V,,,,,
fdata[22],Output,PIN_H12,3J,PIN_H12,1.8 V,,,,,
fdata[21],Output,PIN_G13,3K,PIN_G13,1.8 V,,,,,
fdata[20],Output,PIN_F14,3K,PIN_F14,1.8 V,,,,,
fdata[19],Output,PIN_E13,3K,PIN_E13,1.8 V,,,,,
fdata[18],Output,PIN_D14,3K,PIN_D14,1.8 V,,,,,
fdata[17],Output,PIN_C15,3K,PIN_C15,1.8 V,,,,,
fdata[16],Output,PIN_B14,3K,PIN_B14,1.8 V,,,,,
fdata[15],Output,PIN_J11,3J,PIN_J11,1.8 V,,,,,
fdata[14],Output,PIN_H11,3J,PIN_H11,1.8 V,,,,,
fdata[13],Output,PIN_G12,3J,PIN_G12,1.8 V,,,,,
fdata[12],Output,PIN_F12,3J,PIN_F12,1.8 V,,,,,
fdata[11],Output,PIN_E11,3J,PIN_E11,1.8 V,,,,,
fdata[10],Output,PIN_D11,3J,PIN_D11,1.8 V,,,,,
fdata[9],Output,PIN_C13,3K,PIN_C13,1.8 V,,,,,
fdata[8],Output,PIN_B13,3K,PIN_B13,1.8 V,,,,,
fdata[7],Output,PIN_J10,3J,PIN_J10,1.8 V,,,,,
fdata[6],Output,PIN_H10,3J,PIN_H10,1.8 V,,,,,
fdata[5],Output,PIN_G10,3J,PIN_G10,1.8 V,,,,,
fdata[4],Output,PIN_F11,3J,PIN_F11,1.8 V,,,,,
fdata[3],Output,PIN_E10,3J,PIN_E10,1.8 V,,,,,
fdata[2],Output,PIN_D10,3J,PIN_D10,1.8 V,,,,,
fdata[1],Output,PIN_C12,3K,PIN_C12,1.8 V,,,,,
fdata[0],Output,PIN_B12,3K,PIN_B12,1.8 V,,,,,
pwdata[16],Input,PIN_BH15,3A,PIN_BH15,1.8 V,,,,,
pwdata[15],Input,PIN_BA11,3B,PIN_BA11,1.8 V,,,,,
pwdata[14],Input,PIN_BB13,3A,PIN_BB13,1.8 V,,,,,
pwdata[13],Input,PIN_BC12,3B,PIN_BC12,1.8 V,,,,,
pwdata[12],Input,PIN_BD11,3B,PIN_BD11,1.8 V,,,,,
pwdata[11],Input,PIN_BE12,3B,PIN_BE12,1.8 V,,,,,
pwdata[10],Input,PIN_BF11,3B,PIN_BF11,1.8 V,,,,,
pwdata[9],Input,PIN_BG13,3A,PIN_BG13,1.8 V,,,,,
pwdata[8],Input,PIN_BH13,3A,PIN_BH13,1.8 V,,,,,
pwdata[7],Input,PIN_BA10,3B,PIN_BA10,1.8 V,,,,,
pwdata[6],Input,PIN_BB10,3B,PIN_BB10,1.8 V,,,,,
pwdata[5],Input,PIN_BC11,3B,PIN_BC11,1.8 V,,,,,
pwdata[4],Input,PIN_BD10,3B,PIN_BD10,1.8 V,,,,,
pwdata[3],Input,PIN_BE10,3B,PIN_BE10,1.8 V,,,,,
pwdata[2],Input,PIN_BF10,3B,PIN_BF10,1.8 V,,,,,
pwdata[1],Input,PIN_BG12,3A,PIN_BG12,1.8 V,,,,,
pwdata[0],Input,PIN_BH12,3A,PIN_BH12,1.8 V,,,,,
pready,Output,PIN_BJ26,2F,PIN_BJ26,1.8 V,,,,,
fvalid,Output,PIN_G27,2L,PIN_G27,1.8 V,,,,,
flast,Output,PIN_F27,2L,PIN_F27,1.8 V,,,,,
clk,Input,PIN_V30,2L,PIN_V30,1.8 V,,,,,
pvalid,Input,PIN_BJ28,2A,PIN_BJ28,1.8 V,,,,,
pwe,Input,PIN_BJ25,2F,PIN_BJ25,1.8 V,,,,,
plast,Input,PIN_BJ29,2A,PIN_BJ29,1.8 V,,,,,
paddr[14],Input,,,PIN_AW29,1.8 V,,,,,
paddr[13],Input,,,PIN_AY32,1.8 V,,,,,
paddr[12],Input,,,PIN_AV28,1.8 V,,,,,
paddr[11],Input,PIN_AY39,2C,PIN_AY39,1.8 V,,,,,
paddr[10],Input,PIN_BA39,2C,PIN_BA39,1.8 V,,,,,
paddr[9],Input,PIN_BB39,2C,PIN_BB39,1.8 V,,,,,
paddr[8],Input,PIN_BD39,2C,PIN_BD39,1.8 V,,,,,
paddr[7],Input,PIN_BE39,2C,PIN_BE39,1.8 V,,,,,
paddr[6],Input,PIN_BF39,2C,PIN_BF39,1.8 V,,,,,
paddr[5],Input,PIN_AY40,2C,PIN_AY40,1.8 V,,,,,
paddr[4],Input,PIN_BA40,2C,PIN_BA40,1.8 V,,,,,
paddr[3],Input,PIN_BB40,2C,PIN_BB40,1.8 V,,,,,
paddr[2],Input,PIN_BD40,2C,PIN_BD40,1.8 V,,,,,
paddr[1],Input,PIN_BE40,2C,PIN_BE40,1.8 V,,,,,
paddr[0],Input,PIN_BF40,2C,PIN_BF40,1.8 V,,,,,
fready,Input,PIN_H27,2L,PIN_H27,1.8 V,,,,,
pwdata[124],Input,PIN_BD36,2B,PIN_BD36,1.8 V,,,,,
pwdata[123],Input,PIN_BE36,2B,PIN_BE36,1.8 V,,,,,
pwdata[122],Input,PIN_BF36,2B,PIN_BF36,1.8 V,,,,,
pwdata[121],Input,PIN_BG35,2B,PIN_BG35,1.8 V,,,,,
pwdata[120],Input,PIN_BH36,2C,PIN_BH36,1.8 V,,,,,
pwdata[119],Input,PIN_BA34,2B,PIN_BA34,1.8 V,,,,,
pwdata[118],Input,PIN_BB34,2B,PIN_BB34,1.8 V,,,,,
pwdata[117],Input,PIN_BC32,2A,PIN_BC32,1.8 V,,,,,
pwdata[116],Input,PIN_BD35,2B,PIN_BD35,1.8 V,,,,,
pwdata[115],Input,PIN_BE34,2B,PIN_BE34,1.8 V,,,,,
pwdata[114],Input,PIN_BF35,2B,PIN_BF35,1.8 V,,,,,
pwdata[113],Input,PIN_BG34,2B,PIN_BG34,1.8 V,,,,,
pwdata[112],Input,PIN_BH35,2B,PIN_BH35,1.8 V,,,,,
pwdata[111],Input,PIN_BA32,2A,PIN_BA32,1.8 V,,,,,
pwdata[110],Input,PIN_BB32,2A,PIN_BB32,1.8 V,,,,,
pwdata[109],Input,PIN_BC31,2A,PIN_BC31,1.8 V,,,,,
pwdata[108],Input,PIN_BD33,2B,PIN_BD33,1.8 V,,,,,
pwdata[107],Input,PIN_BE33,2B,PIN_BE33,1.8 V,,,,,
pwdata[106],Input,PIN_BF34,2B,PIN_BF34,1.8 V,,,,,
pwdata[105],Input,PIN_BG33,2B,PIN_BG33,1.8 V,,,,,
pwdata[104],Input,PIN_BH33,2B,PIN_BH33,1.8 V,,,,,
pwdata[103],Input,PIN_BA31,2A,PIN_BA31,1.8 V,,,,,
pwdata[102],Input,PIN_BB30,2A,PIN_BB30,1.8 V,,,,,
pwdata[101],Input,PIN_BC30,2A,PIN_BC30,1.8 V,,,,,
pwdata[100],Input,PIN_BD31,2A,PIN_BD31,1.8 V,,,,,
pwdata[99],Input,PIN_BE32,2A,PIN_BE32,1.8 V,,,,,
pwdata[98],Input,PIN_BF32,2A,PIN_BF32,1.8 V,,,,,
pwdata[97],Input,PIN_BG32,2A,PIN_BG32,1.8 V,,,,,
pwdata[96],Input,PIN_BH31,2A,PIN_BH31,1.8 V,,,,,
pwdata[95],Input,PIN_BA29,2A,PIN_BA29,1.8 V,,,,,
pwdata[94],Input,PIN_BB29,2A,PIN_BB29,1.8 V,,,,,
pwdata[93],Input,PIN_BC28,2F,PIN_BC28,1.8 V,,,,,
pwdata[92],Input,PIN_BD30,2A,PIN_BD30,1.8 V,,,,,
pwdata[91],Input,PIN_BE31,2A,PIN_BE31,1.8 V,,,,,
pwdata[90],Input,PIN_BF31,2A,PIN_BF31,1.8 V,,,,,
pwdata[89],Input,PIN_BG30,2A,PIN_BG30,1.8 V,,,,,
pwdata[88],Input,PIN_BH30,2A,PIN_BH30,1.8 V,,,,,
pwdata[87],Input,PIN_BA27,2F,PIN_BA27,1.8 V,,,,,
pwdata[86],Input,PIN_BB28,2A,PIN_BB28,1.8 V,,,,,
pwdata[85],Input,PIN_BC27,2F,PIN_BC27,1.8 V,,,,,
pwdata[84],Input,PIN_BD29,2A,PIN_BD29,1.8 V,,,,,
pwdata[83],Input,PIN_BE29,2A,PIN_BE29,1.8 V,,,,,
pwdata[82],Input,PIN_BF30,2A,PIN_BF30,1.8 V,,,,,
pwdata[81],Input,PIN_BG28,2A,PIN_BG28,1.8 V,,,,,
pwdata[80],Input,PIN_BH28,2A,PIN_BH28,1.8 V,,,,,
pwdata[79],Input,PIN_BA26,2F,PIN_BA26,1.8 V,,,,,
pwdata[78],Input,PIN_BB27,2F,PIN_BB27,1.8 V,,,,,
pwdata[77],Input,PIN_BC26,2F,PIN_BC26,1.8 V,,,,,
pwdata[76],Input,PIN_BD28,2F,PIN_BD28,1.8 V,,,,,
pwdata[75],Input,PIN_BE27,2F,PIN_BE27,1.8 V,,,,,
pwdata[74],Input,PIN_BF29,2A,PIN_BF29,1.8 V,,,,,
pwdata[73],Input,PIN_BG27,2F,PIN_BG27,1.8 V,,,,,
pwdata[72],Input,PIN_BH26,2F,PIN_BH26,1.8 V,,,,,
pwdata[71],Input,PIN_BA25,2F,PIN_BA25,1.8 V,,,,,
pwdata[70],Input,PIN_BB25,2F,PIN_BB25,1.8 V,,,,,
pwdata[69],Input,PIN_BC25,2F,PIN_BC25,1.8 V,,,,,
pwdata[68],Input,PIN_BD26,2F,PIN_BD26,1.8 V,,,,,
pwdata[67],Input,PIN_BE26,2F,PIN_BE26,1.8 V,,,,,
pwdata[66],Input,PIN_BF27,2F,PIN_BF27,1.8 V,,,,,
pwdata[65],Input,PIN_BG25,2F,PIN_BG25,1.8 V,,,,,
pwdata[64],Input,PIN_BH25,2F,PIN_BH25,1.8 V,,,,,
pwdata[63],Input,PIN_BA21,3C,PIN_BA21,1.8 V,,,,,
pwdata[62],Input,PIN_BB20,3C,PIN_BB20,1.8 V,,,,,
pwdata[61],Input,PIN_BC21,3C,PIN_BC21,1.8 V,,,,,
pwdata[60],Input,PIN_BD21,3C,PIN_BD21,1.8 V,,,,,
pwdata[59],Input,PIN_BE21,3C,PIN_BE21,1.8 V,,,,,
pwdata[58],Input,PIN_BF20,3C,PIN_BF20,1.8 V,,,,,
pwdata[57],Input,PIN_BG20,3C,PIN_BG20,1.8 V,,,,,
pwdata[56],Input,PIN_BH21,3C,PIN_BH21,1.8 V,,,,,
pwdata[55],Input,PIN_BA20,3C,PIN_BA20,1.8 V,,,,,
pwdata[54],Input,PIN_BB19,3C,PIN_BB19,1.8 V,,,,,
pwdata[53],Input,PIN_BC20,3C,PIN_BC20,1.8 V,,,,,
pwdata[52],Input,PIN_BD19,3C,PIN_BD19,1.8 V,,,,,
pwdata[51],Input,PIN_BE19,3C,PIN_BE19,1.8 V,,,,,
pwdata[50],Input,PIN_BF19,3C,PIN_BF19,1.8 V,,,,,
pwdata[49],Input,PIN_BG19,3C,PIN_BG19,1.8 V,,,,,
pwdata[48],Input,PIN_BH20,3C,PIN_BH20,1.8 V,,,,,
pwdata[47],Input,PIN_BA19,3C,PIN_BA19,1.8 V,,,,,
pwdata[46],Input,PIN_BB18,3C,PIN_BB18,1.8 V,,,,,
pwdata[45],Input,PIN_BC17,3A,PIN_BC17,1.8 V,,,,,
pwdata[44],Input,PIN_BD18,3C,PIN_BD18,1.8 V,,,,,
pwdata[43],Input,PIN_BE18,3C,PIN_BE18,1.8 V,,,,,
pwdata[42],Input,PIN_BF17,3C,PIN_BF17,1.8 V,,,,,
pwdata[41],Input,PIN_BG18,3C,PIN_BG18,1.8 V,,,,,
pwdata[40],Input,PIN_BH18,3C,PIN_BH18,1.8 V,,,,,
pwdata[39],Input,PIN_BA17,3A,PIN_BA17,1.8 V,,,,,
pwdata[38],Input,PIN_BB17,3A,PIN_BB17,1.8 V,,,,,
pwdata[37],Input,PIN_BC16,3A,PIN_BC16,1.8 V,,,,,
pwdata[36],Input,PIN_BD16,3A,PIN_BD16,1.8 V,,,,,
